0.3 0.436908 -0.18659 0.226738
0.6 0.650146 -0.264957 0.313504
0.9 0.725593 -0.269138 0.300785
1.2 0.719818 -0.224874 0.222696
1.5 0.669458 -0.151376 0.107343
1.8 0.597716 -0.0627417 -0.022751
2.1 0.518838 0.0309122 -0.150176
2.4 0.441178 0.122535 -0.262126
2.7 0.369279 0.207418 -0.349874
3 0.305282 0.282622 -0.408233
3.3 0.249851 0.346522 -0.435023
3.6 0.202794 0.398452 -0.430545
3.9 0.163455 0.438428 -0.397078
4.2 0.130967 0.466939 -0.338402
4.5 0.104398 0.484778 -0.259359
4.8 0.0828477 0.492922 -0.165446
5.1 0.0654857 0.49244 -0.0624621
5.4 0.0515793 0.484428 0.0438092
5.7 0.0404956 0.469958 0.147861
6 0.0316992 0.450047 0.244681
6.3 0.0247434 0.425636 0.32992
6.6 0.0192595 0.397578 0.400014
6.9 0.0149463 0.366628 0.452267
7.2 0.0115595 0.333448 0.484883
7.5 0.00890155 0.298601 0.496973
7.8 0.00681389 0.26256 0.488523
8.1 0.00516901 0.225711 0.460333
8.4 0.00386446 0.188362 0.413935
8.7 0.00281741 0.150743 0.351493
9 0.00196018 0.113021 0.275687
9.3 0.00123635 0.0752994 0.189589
9.6 0.000597469 0.0376261 0.0965361
