-1 0.352218
-0.99 0.355621
-0.98 0.357478
-0.97 0.3578
-0.96 0.356597
-0.95 0.353885
-0.94 0.349681
-0.93 0.344002
-0.92 0.336867
-0.91 0.3283
-0.9 0.318321
-0.89 0.306954
-0.88 0.294226
-0.87 0.28016
-0.86 0.264786
-0.85 0.248132
-0.84 0.230227
-0.83 0.211103
-0.82 0.190795
-0.81 0.169336
-0.8 0.146765
-0.79 0.12312
-0.78 0.0984441
-0.77 0.072782
-0.76 0.0461814
-0.75 0.0186936
-0.74 -0.00962699
-0.73 -0.038722
-0.72 -0.0685294
-0.71 -0.0989831
-0.7 -0.130013
-0.69 -0.161544
-0.68 -0.193498
-0.67 -0.225791
-0.66 -0.258337
-0.65 -0.291043
-0.64 -0.323814
-0.63 -0.35655
-0.62 -0.389149
-0.61 -0.421503
-0.6 -0.453504
-0.59 -0.485039
-0.58 -0.515994
-0.57 -0.546252
-0.56 -0.575698
-0.55 -0.604213
-0.54 -0.63168
-0.53 -0.657982
-0.52 -0.683003
-0.51 -0.70663
-0.5 -0.728751
-0.49 -0.749259
-0.48 -0.768051
-0.47 -0.785025
-0.46 -0.80009
-0.45 -0.813157
-0.44 -0.824143
-0.43 -0.832974
-0.42 -0.839584
-0.41 -0.843911
-0.4 -0.845906
-0.39 -0.845526
-0.38 -0.842736
-0.37 -0.837514
-0.36 -0.829842
-0.35 -0.819717
-0.34 -0.807141
-0.33 -0.792129
-0.32 -0.774702
-0.31 -0.754893
-0.3 -0.732743
-0.29 -0.708302
-0.28 -0.68163
-0.27 -0.652793
-0.26 -0.621867
-0.25 -0.588935
-0.24 -0.554086
-0.23 -0.517419
-0.22 -0.479037
-0.21 -0.43905
-0.2 -0.397572
-0.19 -0.354724
-0.18 -0.310631
-0.17 -0.265421
-0.16 -0.219228
-0.15 -0.172188
-0.14 -0.124439
-0.13 -0.0761215
-0.12 -0.0273791
-0.11 0.0216441
-0.1 0.070803
-0.09 0.119952
-0.08 0.168944
-0.07 0.217635
-0.06 0.265879
-0.05 0.313532
-0.04 0.360452
-0.03 0.406499
-0.02 0.451533
-0.01 0.49542
7.5287e-16 0.538028
0.01 0.579227
0.02 0.618892
0.03 0.656904
0.04 0.693147
0.05 0.727511
0.06 0.75989
0.07 0.790186
0.08 0.818308
0.09 0.84417
0.1 0.867694
0.11 0.888811
0.12 0.907457
0.13 0.92358
0.14 0.937134
0.15 0.948083
0.16 0.956399
0.17 0.962066
0.18 0.965075
0.19 0.965427
0.2 0.963135
0.21 0.958217
0.22 0.950707
0.23 0.940642
0.24 0.928073
0.25 0.913059
0.26 0.895667
0.27 0.875974
0.28 0.854065
0.29 0.830031
0.3 0.803973
0.31 0.775998
0.32 0.746219
0.33 0.714755
0.34 0.68173
0.35 0.647273
0.36 0.611516
0.37 0.574595
0.38 0.536648
0.39 0.497816
0.4 0.458239
0.41 0.418058
0.42 0.377416
0.43 0.336453
0.44 0.295307
0.45 0.254115
0.46 0.213011
0.47 0.172125
0.48 0.131585
0.49 0.0915125
0.5 0.0520255
0.51 0.0132366
0.52 -0.0247471
0.53 -0.0618244
0.54 -0.0978998
0.55 -0.132884
0.56 -0.166695
0.57 -0.199257
0.58 -0.230499
0.59 -0.26036
0.6 -0.288783
0.61 -0.315717
0.62 -0.341122
0.63 -0.364959
0.64 -0.387198
0.65 -0.407816
0.66 -0.426794
0.67 -0.44412
0.68 -0.459787
0.69 -0.473792
0.7 -0.48614
0.71 -0.496839
0.72 -0.505901
0.73 -0.513343
0.74 -0.519187
0.75 -0.523455
0.76 -0.526177
0.77 -0.527384
0.78 -0.527108
0.79 -0.525388
0.8 -0.522261
0.81 -0.517769
0.82 -0.511955
0.83 -0.504863
0.84 -0.496539
0.85 -0.48703
0.86 -0.476385
0.87 -0.464652
0.88 -0.451882
0.89 -0.438125
0.9 -0.423431
0.91 -0.407852
0.92 -0.391438
0.93 -0.374241
0.94 -0.356311
0.95 -0.337699
0.96 -0.318456
0.97 -0.298631
0.98 -0.278273
0.99 -0.257432
1 -0.236155
