-1 0.352218 0.417907 -15.5349 -0.452797
-0.99 0.355621 0.262896 -15.4625 -0.449257
-0.98 0.357478 0.108747 -15.3632 -0.44569
-0.97 0.3578 -0.0442861 -15.2396 -0.442112
-0.96 0.356597 -0.195973 -15.0943 -0.438539
-0.95 0.353885 -0.346107 -14.9296 -0.434985
-0.94 0.349681 -0.494507 -14.7475 -0.431466
-0.93 0.344002 -0.641006 -14.5498 -0.427997
-0.92 0.336867 -0.785456 -14.3379 -0.424591
-0.91 0.3283 -0.92772 -14.1129 -0.421264
-0.9 0.318321 -1.06767 -13.8754 -0.41803
-0.89 0.306954 -1.20519 -13.626 -0.414902
-0.88 0.294226 -1.34015 -13.3646 -0.411895
-0.87 0.28016 -1.47244 -13.0909 -0.409022
-0.86 0.264786 -1.60193 -12.8041 -0.406296
-0.85 0.248132 -1.72848 -12.5034 -0.403731
-0.84 0.230227 -1.85194 -12.1873 -0.401338
-0.83 0.211103 -1.97217 -11.8543 -0.39913
-0.82 0.190795 -2.08897 -11.5026 -0.39712
-0.81 0.169336 -2.20215 -11.13 -0.395318
-0.8 0.146765 -2.31149 -10.7345 -0.393737
-0.79 0.12312 -2.41675 -10.3137 -0.392386
-0.78 0.0984441 -2.51767 -9.86523 -0.391278
-0.77 0.072782 -2.61396 -9.38671 -0.390421
-0.76 0.0461814 -2.7053 -8.87579 -0.389825
-0.75 0.0186936 -2.79136 -8.33025 -0.3895
-0.74 -0.00962699 -2.87178 -7.748 -0.389454
-0.73 -0.038722 -2.94619 -7.12716 -0.389695
-0.72 -0.0685294 -3.01419 -6.46611 -0.390231
-0.71 -0.0989831 -3.07537 -5.76353 -0.391068
-0.7 -0.130013 -3.12932 -5.01848 -0.392213
-0.69 -0.161544 -3.1756 -4.23039 -0.39367
-0.68 -0.193498 -3.21378 -3.39913 -0.395445
-0.67 -0.225791 -3.24344 -2.52506 -0.397541
-0.66 -0.258337 -3.26415 -1.609 -0.399962
-0.65 -0.291043 -3.27548 -0.652308 -0.402708
-0.64 -0.323814 -3.27706 0.343143 -0.405783
-0.63 -0.35655 -3.2685 1.37495 -0.409184
-0.62 -0.389149 -3.24945 2.44017 -0.412913
-0.61 -0.421503 -3.2196 3.53536 -0.416967
-0.6 -0.453504 -3.17866 4.65654 -0.421342
-0.59 -0.485039 -3.12639 5.7993 -0.426035
-0.58 -0.515994 -3.06262 6.95872 -0.431041
-0.57 -0.546252 -2.98718 8.12953 -0.436353
-0.56 -0.575698 -2.90001 9.30606 -0.441963
-0.55 -0.604213 -2.80106 10.4823 -0.447864
-0.54 -0.63168 -2.69038 11.6521 -0.454044
-0.53 -0.657982 -2.56806 12.8088 -0.460493
-0.52 -0.683003 -2.43427 13.9461 -0.467199
-0.51 -0.70663 -2.28923 15.0571 -0.474149
-0.5 -0.728751 -2.13324 16.1352 -0.481327
-0.49 -0.749259 -1.96666 17.1738 -0.488718
-0.48 -0.768051 -1.78992 18.1664 -0.496306
-0.47 -0.785025 -1.6035 19.1067 -0.504073
-0.46 -0.80009 -1.40798 19.9886 -0.512001
-0.45 -0.813157 -1.20394 20.8064 -0.520068
-0.44 -0.824143 -0.992079 21.5547 -0.528257
-0.43 -0.832974 -0.773099 22.2285 -0.536544
-0.42 -0.839584 -0.547772 22.8234 -0.544909
-0.41 -0.843911 -0.316908 23.3353 -0.553328
-0.4 -0.845906 -0.0813544 23.7608 -0.561779
-0.39 -0.845526 0.15801 24.097 -0.570238
-0.38 -0.842736 0.400279 24.3415 -0.578682
-0.37 -0.837514 0.644528 24.4927 -0.587085
-0.36 -0.829842 0.889817 24.5493 -0.595424
-0.35 -0.819717 1.1352 24.511 -0.603674
-0.34 -0.807141 1.37972 24.3776 -0.61181
-0.33 -0.792129 1.62244 24.1498 -0.619808
-0.32 -0.774702 1.86241 23.8288 -0.627645
-0.31 -0.754893 2.09871 23.4162 -0.635295
-0.3 -0.732743 2.33043 22.9141 -0.642735
